Timestamp,What is your current academic level?,What is your primary source of funding for your studies and living expenses?,What is your approximate monthly income/financial support? (in LKR),How much do you spend on TRANSPORTATION per month? (in LKR),Rate your comfort level with your current financial situation.,How would you rate the affordability of the following expenses in your area? [Accommodation (Rent/Housing)],How would you rate the affordability of the following expenses in your area? [Groceries/Food],"How would you rate the affordability of the following expenses in your area? [Course Materials (Books, supplies)]",How would you rate the affordability of the following expenses in your area? [Transportation],How would you rate the affordability of the following expenses in your area? [Social/Leisure Activities],In which areas do you wish you had more financial assistance or resources?,Approximately how many hours per week do you spend working (paid job)?,Please provide any additional comments on your student budget or financial challenges.
09/11/2025 22:14:10,Postgraduate,"Parental/Family Support, Other (e.g., Freelancing), Student Loans","LKR 15,001 - 25,000",3542,4,Very Affordable,Unaffordable,Neutral,Neutral,Very Unaffordable,"Accommodation, Tuition Fees, Groceries/Food",0 hours,
23/11/2025 10:59:58,Postgraduate,"Part-time Job, Other (e.g., Freelancing)","LKR 15,001 - 25,000",2719,1,Very Affordable,Very Unaffordable,Very Affordable,Affordable,Very Unaffordable,"Groceries/Food, Mental Health Services",11-15 hours,Scholarship funds are delayed.
03/11/2025 09:13:49,Postgraduate,"Other (e.g., Freelancing), Part-time Job, Parental/Family Support","More than LKR 75,000",11997,2,Very Affordable,Unaffordable,Unaffordable,Neutral,Neutral,"Emergency Funding, Mental Health Services",1-5 hours,Scholarship funds are delayed.
09/11/2025 05:05:50,Undergraduate,Scholarship/Grants,"LKR 35,001 - 50,000",4842,3,Neutral,Very Affordable,Unaffordable,Unaffordable,Very Unaffordable,"Tuition Fees, Mental Health Services",1-5 hours,
20/11/2025 01:08:39,Undergraduate,"Part-time Job, Scholarship/Grants","LKR 15,001 - 25,000",5079,1,Very Affordable,Very Affordable,Neutral,Affordable,Affordable,"Mental Health Services, Tuition Fees, Accommodation",11-15 hours,Financial stress is very high this semester.
09/11/2025 05:26:49,Postgraduate,Scholarship/Grants,"Less than LKR 15,000",215,5,Neutral,Neutral,Affordable,Neutral,Neutral,Mental Health Services,More than 20 hours,Financial stress is very high this semester.
20/11/2025 10:58:59,Undergraduate,"Student Loans, Part-time Job","LKR 25,001 - 35,000",1997,2,Neutral,Unaffordable,Affordable,Very Affordable,Very Unaffordable,"None of the above, Career Development Workshops",1-5 hours,
01/11/2025 12:24:47,Postgraduate,"Parental/Family Support, Part-time Job, Scholarship/Grants","Less than LKR 15,000",187,2,Neutral,Very Unaffordable,Affordable,Very Unaffordable,Neutral,"None of the above, Mental Health Services",0 hours,
26/10/2025 02:40:08,Undergraduate,"Student Loans, Other (e.g., Freelancing), Parental/Family Support","LKR 50,001 - 75,000",28366,3,Affordable,Unaffordable,Very Affordable,Very Affordable,Very Affordable,"Accommodation, None of the above",0 hours,The country sucks
21/11/2025 06:42:24,Postgraduate,Part-time Job,"LKR 35,001 - 50,000",7401,2,Neutral,Neutral,Very Unaffordable,Unaffordable,Neutral,"Career Development Workshops, Groceries/Food, None of the above",6-10 hours,
26/10/2025 18:14:15,Postgraduate,"Parental/Family Support, Savings","LKR 25,001 - 35,000",6896,1,Very Unaffordable,Affordable,Unaffordable,Affordable,Unaffordable,"None of the above, Mental Health Services",11-15 hours,
16/11/2025 00:36:09,Undergraduate,"Other (e.g., Freelancing)",Prefer not to say,4949,2,Very Affordable,Unaffordable,Neutral,Unaffordable,Very Unaffordable,Groceries/Food,More than 20 hours,
18/11/2025 07:05:32,Postgraduate,"Parental/Family Support, Savings","LKR 50,001 - 75,000",29382,4,Very Affordable,Very Unaffordable,Affordable,Very Unaffordable,Affordable,Mental Health Services,16-20 hours,Scholarship funds are delayed.
05/11/2025 18:20:57,Undergraduate,"Scholarship/Grants, Other (e.g., Freelancing), Part-time Job","LKR 25,001 - 35,000",6942,3,Very Unaffordable,Neutral,Unaffordable,Very Unaffordable,Affordable,None of the above,More than 20 hours,
05/11/2025 15:29:49,Postgraduate,"Savings, Part-time Job","LKR 25,001 - 35,000",5774,4,Very Unaffordable,Very Affordable,Affordable,Affordable,Very Unaffordable,"Tuition Fees, Mental Health Services, Groceries/Food",0 hours,
15/11/2025 10:49:24,Undergraduate,"Other (e.g., Freelancing), Student Loans",Prefer not to say,6454,3,Unaffordable,Unaffordable,Very Affordable,Neutral,Unaffordable,"Accommodation, Emergency Funding, Tuition Fees",More than 20 hours,
20/11/2025 05:01:07,Postgraduate,"Parental/Family Support, Savings, Other (e.g., Freelancing)","Less than LKR 15,000",339,3,Affordable,Affordable,Affordable,Very Unaffordable,Very Unaffordable,"Career Development Workshops, Tuition Fees",11-15 hours,
03/11/2025 04:54:19,Undergraduate,"Parental/Family Support, Student Loans, Other (e.g., Freelancing)","Less than LKR 15,000",537,3,Affordable,Very Unaffordable,Unaffordable,Neutral,Neutral,"Tuition Fees, Groceries/Food",More than 20 hours,
11/11/2025 01:59:40,Undergraduate,"Parental/Family Support, Student Loans, Part-time Job","LKR 15,001 - 25,000",3921,2,Unaffordable,Very Affordable,Unaffordable,Very Unaffordable,Very Unaffordable,"None of the above, Tuition Fees, Career Development Workshops",11-15 hours,
14/11/2025 15:24:30,Postgraduate,"Other (e.g., Freelancing), Student Loans, Savings","LKR 15,001 - 25,000",3849,5,Unaffordable,Unaffordable,Affordable,Very Affordable,Very Unaffordable,"Mental Health Services, Emergency Funding, Groceries/Food",1-5 hours,
31/10/2025 06:12:30,Undergraduate,"Part-time Job, Scholarship/Grants","LKR 35,001 - 50,000",9933,2,Very Affordable,Very Affordable,Affordable,Very Affordable,Very Affordable,"Career Development Workshops, Emergency Funding, Accommodation",0 hours,Scholarship funds are delayed.
25/10/2025 16:20:38,Postgraduate,"Student Loans, Scholarship/Grants","More than LKR 75,000",8479,2,Affordable,Very Affordable,Very Unaffordable,Neutral,Neutral,"Tuition Fees, Career Development Workshops",More than 20 hours,Financial stress is very high this semester.
22/11/2025 01:29:24,Undergraduate,Parental/Family Support,"LKR 15,001 - 25,000",6177,3,Very Affordable,Unaffordable,Very Affordable,Very Affordable,Very Unaffordable,Accommodation,0 hours,The country sucks
05/11/2025 02:24:32,Undergraduate,Part-time Job,Prefer not to say,3204,4,Affordable,Affordable,Very Affordable,Very Affordable,Neutral,"Accommodation, Mental Health Services",11-15 hours,Financial stress is very high this semester.
14/11/2025 19:49:02,Postgraduate,"Savings, Part-time Job, Scholarship/Grants","LKR 35,001 - 50,000",8944,3,Very Affordable,Very Affordable,Affordable,Neutral,Very Unaffordable,Career Development Workshops,1-5 hours,The country sucks
14/11/2025 00:52:40,Undergraduate,"Savings, Other (e.g., Freelancing), Student Loans","LKR 50,001 - 75,000",14377,3,Neutral,Very Unaffordable,Unaffordable,Neutral,Unaffordable,"Mental Health Services, None of the above, Career Development Workshops",16-20 hours,
24/11/2025 11:13:28,Postgraduate,Scholarship/Grants,"Less than LKR 15,000",920,1,Unaffordable,Affordable,Unaffordable,Very Affordable,Neutral,"Tuition Fees, None of the above, Groceries/Food",More than 20 hours,I need to work more to cover rent.
29/10/2025 00:39:26,Postgraduate,Part-time Job,"LKR 25,001 - 35,000",6465,3,Very Unaffordable,Very Unaffordable,Very Affordable,Very Affordable,Neutral,"None of the above, Career Development Workshops",More than 20 hours,I need to work more to cover rent.
30/10/2025 14:23:21,Postgraduate,"Parental/Family Support, Part-time Job","LKR 50,001 - 75,000",16222,4,Neutral,Very Unaffordable,Very Unaffordable,Very Unaffordable,Unaffordable,"Career Development Workshops, Mental Health Services",16-20 hours,
20/11/2025 14:44:46,Undergraduate,Scholarship/Grants,"LKR 50,001 - 75,000",22181,4,Very Affordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,"Mental Health Services, None of the above, Tuition Fees",0 hours,
14/11/2025 14:12:05,Postgraduate,Part-time Job,"More than LKR 75,000",26479,1,Neutral,Neutral,Unaffordable,Neutral,Unaffordable,"Accommodation, Tuition Fees, Emergency Funding",6-10 hours,
19/11/2025 04:45:49,Undergraduate,"Savings, Scholarship/Grants","LKR 25,001 - 35,000",8660,5,Very Unaffordable,Affordable,Very Affordable,Neutral,Neutral,Emergency Funding,0 hours,I need to work more to cover rent.
17/11/2025 10:14:08,Postgraduate,Savings,"LKR 35,001 - 50,000",1068,4,Affordable,Very Unaffordable,Unaffordable,Unaffordable,Unaffordable,"Emergency Funding, Groceries/Food",1-5 hours,The country sucks
10/11/2025 03:16:52,Postgraduate,"Savings, Part-time Job, Student Loans","LKR 25,001 - 35,000",9656,2,Unaffordable,Very Unaffordable,Unaffordable,Very Unaffordable,Very Affordable,Emergency Funding,More than 20 hours,
13/11/2025 19:30:14,Undergraduate,"Savings, Other (e.g., Freelancing), Part-time Job","More than LKR 75,000",29855,4,Very Affordable,Very Affordable,Neutral,Very Affordable,Unaffordable,"Mental Health Services, Accommodation",11-15 hours,
02/11/2025 08:13:14,Undergraduate,"Scholarship/Grants, Part-time Job, Savings","LKR 50,001 - 75,000",18385,4,Unaffordable,Very Unaffordable,Unaffordable,Very Affordable,Very Unaffordable,"Tuition Fees, Accommodation",16-20 hours,
02/11/2025 05:04:16,Undergraduate,"Other (e.g., Freelancing), Parental/Family Support","LKR 25,001 - 35,000",6836,4,Affordable,Very Unaffordable,Unaffordable,Very Affordable,Very Unaffordable,"None of the above, Groceries/Food, Career Development Workshops",11-15 hours,
07/11/2025 20:23:01,Postgraduate,"Savings, Parental/Family Support","LKR 25,001 - 35,000",8322,5,Neutral,Unaffordable,Neutral,Very Unaffordable,Neutral,Career Development Workshops,6-10 hours,
24/11/2025 06:11:29,Postgraduate,"Scholarship/Grants, Savings","LKR 50,001 - 75,000",29693,5,Unaffordable,Unaffordable,Neutral,Neutral,Very Unaffordable,Tuition Fees,6-10 hours,I need to work more to cover rent.
10/11/2025 04:07:57,Postgraduate,Scholarship/Grants,"LKR 35,001 - 50,000",8898,5,Affordable,Very Unaffordable,Very Unaffordable,Very Affordable,Affordable,"Career Development Workshops, Groceries/Food, Mental Health Services",16-20 hours,
31/10/2025 21:16:31,Undergraduate,Savings,Prefer not to say,8946,2,Neutral,Neutral,Affordable,Very Unaffordable,Neutral,Emergency Funding,More than 20 hours,I need to work more to cover rent.
30/10/2025 21:00:33,Postgraduate,"Part-time Job, Savings","LKR 25,001 - 35,000",2449,2,Very Unaffordable,Very Unaffordable,Neutral,Affordable,Neutral,"Accommodation, Groceries/Food, None of the above",16-20 hours,
23/11/2025 06:16:33,Postgraduate,"Savings, Part-time Job","Less than LKR 15,000",270,3,Neutral,Affordable,Neutral,Very Unaffordable,Very Affordable,"Career Development Workshops, Mental Health Services, None of the above",1-5 hours,
17/11/2025 01:41:20,Undergraduate,"Other (e.g., Freelancing), Scholarship/Grants, Student Loans","LKR 50,001 - 75,000",6638,2,Neutral,Very Affordable,Affordable,Very Affordable,Very Unaffordable,"Mental Health Services, Career Development Workshops",11-15 hours,
12/11/2025 23:20:14,Postgraduate,"Student Loans, Savings","LKR 15,001 - 25,000",6062,3,Very Affordable,Neutral,Affordable,Unaffordable,Very Affordable,"Career Development Workshops, Emergency Funding",6-10 hours,
08/11/2025 23:57:34,Postgraduate,Savings,Prefer not to say,8366,1,Very Affordable,Unaffordable,Very Affordable,Neutral,Very Affordable,None of the above,1-5 hours,
01/11/2025 02:57:46,Undergraduate,"Student Loans, Other (e.g., Freelancing), Savings","LKR 35,001 - 50,000",8608,5,Affordable,Neutral,Very Affordable,Unaffordable,Very Unaffordable,"None of the above, Tuition Fees",16-20 hours,Financial stress is very high this semester.
23/11/2025 07:21:53,Undergraduate,Part-time Job,"LKR 15,001 - 25,000",3381,4,Affordable,Unaffordable,Neutral,Very Unaffordable,Affordable,"Tuition Fees, None of the above",6-10 hours,
19/11/2025 07:02:23,Postgraduate,"Part-time Job, Scholarship/Grants",Prefer not to say,3183,4,Affordable,Neutral,Very Affordable,Unaffordable,Very Unaffordable,"Emergency Funding, Career Development Workshops",6-10 hours,The country sucks
06/11/2025 14:49:10,Postgraduate,"Savings, Other (e.g., Freelancing)","LKR 35,001 - 50,000",4911,5,Unaffordable,Very Unaffordable,Neutral,Unaffordable,Very Affordable,"None of the above, Groceries/Food, Tuition Fees",11-15 hours,
11/11/2025 03:03:58,Postgraduate,Student Loans,"LKR 35,001 - 50,000",7982,5,Affordable,Unaffordable,Neutral,Very Affordable,Unaffordable,Accommodation,0 hours,I need to work more to cover rent.
11/11/2025 13:02:50,Postgraduate,Scholarship/Grants,"LKR 15,001 - 25,000",4499,1,Very Affordable,Unaffordable,Very Affordable,Very Affordable,Very Unaffordable,"Tuition Fees, None of the above, Career Development Workshops",16-20 hours,
07/11/2025 14:31:56,Undergraduate,"Scholarship/Grants, Savings, Other (e.g., Freelancing)","LKR 35,001 - 50,000",5815,2,Neutral,Very Unaffordable,Unaffordable,Unaffordable,Neutral,Career Development Workshops,0 hours,
24/11/2025 04:36:31,Postgraduate,"Scholarship/Grants, Savings","LKR 25,001 - 35,000",9807,2,Neutral,Neutral,Neutral,Affordable,Affordable,"Accommodation, Groceries/Food",16-20 hours,
21/11/2025 00:22:54,Undergraduate,"Parental/Family Support, Scholarship/Grants","More than LKR 75,000",6503,2,Very Affordable,Very Affordable,Affordable,Neutral,Neutral,None of the above,6-10 hours,
21/11/2025 08:44:11,Postgraduate,Part-time Job,"More than LKR 75,000",15472,3,Affordable,Very Unaffordable,Unaffordable,Very Affordable,Unaffordable,None of the above,1-5 hours,The country sucks
14/11/2025 16:17:34,Undergraduate,Savings,"LKR 25,001 - 35,000",3947,2,Very Affordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,Very Affordable,"Mental Health Services, Career Development Workshops",6-10 hours,
31/10/2025 23:02:54,Undergraduate,"Scholarship/Grants, Part-time Job, Parental/Family Support","Less than LKR 15,000",805,4,Very Affordable,Affordable,Very Affordable,Unaffordable,Unaffordable,"Accommodation, Emergency Funding, Mental Health Services",1-5 hours,
15/11/2025 11:22:01,Postgraduate,"Student Loans, Parental/Family Support, Part-time Job","LKR 50,001 - 75,000",20601,3,Unaffordable,Unaffordable,Very Affordable,Very Affordable,Unaffordable,"Career Development Workshops, Mental Health Services",6-10 hours,Scholarship funds are delayed.
11/11/2025 02:49:59,Postgraduate,"Parental/Family Support, Student Loans, Other (e.g., Freelancing)","LKR 35,001 - 50,000",5755,1,Neutral,Very Affordable,Affordable,Very Unaffordable,Unaffordable,"Emergency Funding, Accommodation",1-5 hours,I need to work more to cover rent.
10/11/2025 02:10:53,Undergraduate,"Part-time Job, Other (e.g., Freelancing), Savings","More than LKR 75,000",19005,3,Very Unaffordable,Very Unaffordable,Very Affordable,Very Unaffordable,Very Affordable,"None of the above, Groceries/Food",11-15 hours,I need to work more to cover rent.
13/11/2025 05:50:51,Postgraduate,"Student Loans, Part-time Job","More than LKR 75,000",17594,4,Affordable,Affordable,Unaffordable,Very Affordable,Affordable,"Career Development Workshops, Groceries/Food, Accommodation",More than 20 hours,Scholarship funds are delayed.
02/11/2025 01:37:56,Undergraduate,"Other (e.g., Freelancing), Student Loans","Less than LKR 15,000",355,5,Affordable,Affordable,Very Affordable,Very Affordable,Very Unaffordable,"Emergency Funding, Tuition Fees, Career Development Workshops",16-20 hours,
14/11/2025 13:50:45,Undergraduate,"Student Loans, Part-time Job, Parental/Family Support","LKR 35,001 - 50,000",9651,2,Very Unaffordable,Neutral,Neutral,Affordable,Affordable,None of the above,11-15 hours,Financial stress is very high this semester.
15/11/2025 23:12:24,Postgraduate,"Scholarship/Grants, Other (e.g., Freelancing), Student Loans","LKR 15,001 - 25,000",5040,3,Neutral,Neutral,Affordable,Very Unaffordable,Very Affordable,Career Development Workshops,More than 20 hours,
17/11/2025 15:18:01,Undergraduate,"Part-time Job, Parental/Family Support","LKR 50,001 - 75,000",7750,3,Neutral,Unaffordable,Neutral,Very Unaffordable,Very Affordable,"Tuition Fees, Mental Health Services, Emergency Funding",1-5 hours,
15/11/2025 05:48:39,Postgraduate,"Parental/Family Support, Savings, Scholarship/Grants","Less than LKR 15,000",426,5,Unaffordable,Very Unaffordable,Affordable,Unaffordable,Neutral,"None of the above, Emergency Funding",More than 20 hours,
23/11/2025 21:21:36,Postgraduate,Part-time Job,"More than LKR 75,000",14856,1,Neutral,Very Unaffordable,Very Affordable,Affordable,Affordable,"Tuition Fees, Emergency Funding",11-15 hours,
14/11/2025 15:15:55,Postgraduate,"Other (e.g., Freelancing), Parental/Family Support","LKR 50,001 - 75,000",27145,3,Very Unaffordable,Neutral,Very Unaffordable,Neutral,Affordable,"Mental Health Services, Groceries/Food",1-5 hours,Financial stress is very high this semester.
01/11/2025 23:23:02,Undergraduate,Scholarship/Grants,"LKR 15,001 - 25,000",2819,5,Neutral,Unaffordable,Neutral,Neutral,Affordable,"Emergency Funding, Accommodation",More than 20 hours,
05/11/2025 17:33:08,Undergraduate,"Scholarship/Grants, Student Loans","Less than LKR 15,000",286,3,Very Affordable,Affordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,"Mental Health Services, Emergency Funding",11-15 hours,I need to work more to cover rent.
08/11/2025 18:18:29,Undergraduate,"Parental/Family Support, Scholarship/Grants",Prefer not to say,8704,2,Unaffordable,Unaffordable,Affordable,Neutral,Neutral,"Mental Health Services, Tuition Fees, Career Development Workshops",11-15 hours,
25/10/2025 16:41:11,Undergraduate,"Scholarship/Grants, Savings, Part-time Job","LKR 15,001 - 25,000",4664,1,Very Affordable,Very Unaffordable,Affordable,Very Unaffordable,Unaffordable,"Mental Health Services, Career Development Workshops",16-20 hours,
23/11/2025 02:57:39,Postgraduate,"Savings, Other (e.g., Freelancing), Scholarship/Grants","LKR 15,001 - 25,000",2194,4,Neutral,Very Affordable,Neutral,Affordable,Affordable,Emergency Funding,1-5 hours,
28/10/2025 13:13:13,Undergraduate,"Student Loans, Part-time Job, Parental/Family Support","More than LKR 75,000",5523,2,Neutral,Unaffordable,Very Unaffordable,Neutral,Very Unaffordable,"Groceries/Food, Career Development Workshops, Tuition Fees",6-10 hours,
28/10/2025 13:16:29,Undergraduate,"Savings, Part-time Job","LKR 25,001 - 35,000",3360,5,Very Unaffordable,Very Affordable,Very Affordable,Very Affordable,Neutral,Mental Health Services,0 hours,The country sucks
